CSD refcode,CIF filename
KAWXEO,kawxeo_P1_charged_H
KAWXIS,kawxis_P1_charged_H
KAWXOY,kawxoy_P1_charged_H
KAWXUE,kawxue_P1_charged_H
KEDQAN,kedqan_P1_H
KEJBOQ,kejboq_P1_H
KEJHIQ,kejhiq_P1_H
KEJKAO,kejkao_P1_H
KEJKES,kejkes_P1_H
KEPPIF,keppif_P1_charged_H
KERFOF,kerfof_P1_H
KESFUM,kesfum_P1_H
KEWNUX,kewnux_P1_H
KEXFAU,kexfau_P1_H
KEYMUY,keymuy_P1_charged_H
KIDVIE,kidvie_P1_H
KINRIK,kinrik_P1_charged_H
KINROQ,kinroq_P1_charged_H
KIPJIE,kipjie_P1_H
KIPJOK,kipjok_P1_H
KIPKAX,kipkax_P1_H
KIVJIL,kivjil_P1_H
KIYBIF,kiybif_P1_H
KIZCII,kizcii_P1_charged_H
KOBFEN,kobfen_P1_H
KOBPIB,kobpib_P1_H
KOBPUN,kobpun_P1_H
KOBXIL,kobxil_P1_charged_H
KOCWEF,kocwef_P1_H
KOFPEB,kofpeb_P1_H
KOFPEB01,kofpeb01_P1_H
KOFPEB02,kofpeb02_P1_H
KOFPEB03,kofpeb03_P1_H
KOFPEB04,kofpeb04_P1_H
KOFPEB05,kofpeb05_P1_H
KOFVOS,kofvos_P1_H
KOGTAE,kogtae_P1_H
KOGTEI,kogtei_P1_H
KOPKAE,kopkae_P1_H
KOTSIX,kotsix_P1_H
KUDLUR,kudlur_P1_H
KUDMAY,kudmay_P1_H
KUKMUA,kukmua_P1_H
KUKPOX,kukpox_P1_charged_H
KUKWAR,kukwar_P1_H
KUKZOH,kukzoh_P1_H
KULLAG,kullag_P1_H
KULLEK,kullek_P1_H
KUTCUZ,kutcuz_P1_H
KUTDAG,kutdag_P1_charged_H
KUTRIC,kutric_P1_H
KUTRUO,kutruo_P1_charged_H
KUYHIY,kuyhiy_P1_H
LABRUE,labrue_P1_charged_H
LADHIJ,ladhij_P1_H
LADQEP,ladqep_P1_H
LADQIT,ladqit_P1_H
LADQOZ,ladqoz_P1_H
LADQUF,ladquf_P1_H
LAGWEX,lagwex_P1_H
LAGWUN,lagwun_P1_H
LAJKUE,lajkue_P1_charged_H
LAJLAL,lajlal_P1_charged_H
LAJLEP,lajlep_P1_charged_H
LAJLIT,lajlit_P1_charged_H
LALFEL,lalfel_P1_charged_H
LALPIZ,lalpiz_P1_H
LALPOF,lalpof_P1_H
LARPOL,larpol_P1_charged_H
LAVZOA,lavzoa_P1_H
LAWHUP,lawhup_P1_H
LAZQUA,lazqua_P1_H
LAZXOB,lazxob_P1_H
LEBBUS,lebbus_P1_H
LECGAD,lecgad_P1_H
LEGGIO,leggio_P1_H
LEGGOU,leggou_P1_H
LEJRIC,lejric_P1_H
LEKMEW,lekmew_P1_H
LEPKID,lepkid_P1_charged_H
LEPKUO,lepkuo_P1_H
LEPLAV,leplav_P1_H
LEYFUS,leyfus_P1_charged_H
LEZWUK,lezwuk_P1_charged_H
LEZXAR,lezxar_P1_charged_H
LIJGUJ,lijguj_P1_H
LIJQON,lijqon_P1_H
LIJXEI,lijxei_P1_H
LIKBAJ,likbaj_P1_H
LIKWUA,likwua_P1_H
LIKXUB,likxub_P1_H
LIKYAI,likyai_P1_charged_H
LIKYEM,likyem_P1_H
LIPQIL,lipqil_P1_charged_H
LIRVAK,lirvak_P1_charged_H
LIXMIQ,lixmiq_P1_H
LIYSUK,liysuk_P1_H
LIZFUY,lizfuy_P1_H
LIZQET,lizqet_P1_H
LOBQEB,lobqeb_P1_H
LOCZIO,loczio_P1_H
LODPOK,lodpok_P1_H
LODPUQ,lodpuq_P1_H
LODTEF,lodtef_P1_H
LOJNAA,lojnaa_P1_H
LOPJOS,lopjos_P1_H
LOQLEJ,loqlej_P1_H
LOQLIN,loqlin_P1_H
LORROB,lorrob_P1_H
LORRUH,lorruh_P1_H
LOWKUF,lowkuf_P1_charged_H
LOXBEH,loxbeh_P1_H
LUBNAZ,lubnaz_P1_H
LUFNAC01,lufnac01_P1_H
LUFNAC02,lufnac02_P1_H
LUFNAC03,lufnac03_P1_H
LUFNAC04,lufnac04_P1_H
LUFNAC05,lufnac05_P1_H
LUFNEG,lufneg_P1_H
LUGLOO,lugloo_P1_H
LUMYEZ,lumyez_P1_charged_H
LUMYID,lumyid_P1_charged_H
LUPVEZ,lupvez_P1_H
