CSD refcode,CIF filename
JEHBAC,jehbac_P1_charged
JELPAS,jelpas_P1_charged
JEMPEZ,jempez_P1_charged
JETJOI,jetjoi_P1_charged
JEYXOB,jeyxob_P1_charged
JIDBAC,jidbac_P1_charged_H
JIDBEG,jidbeg_P1_charged_H
JIDPAQ,jidpaq_P1_charged
JIDRUM,jidrum_P1_charged
JIDYIH,jidyih_P1_charged
JIGQOI,jigqoi_P1_charged
JIQCUK,jiqcuk_P1_charged
JIRGOJ,jirgoj_P1_charged
JIRHAW,jirhaw_P1_charged
JIRLOO,jirloo_P1_charged
JISQEK,jisqek_P1_charged_H
JITPOS,jitpos_P1_charged_H
JIVSAJ,jivsaj_P1_charged
JIVSEN,jivsen_P1_charged
JIXBUQ,jixbuq_P1_charged
JOCGIU,jocgiu_P1_charged
JOCLOD,joclod_P1_charged
JOCWIJ,jocwij_P1_charged
JOGHEV,joghev_P1_charged
JOGHIZ,joghiz_P1_charged
JOGHOF,joghof_P1_charged
JOGJEX,jogjex_P1_charged
JONKEE,jonkee_P1_charged
JOQGON,joqgon_P1_charged
JOQGUT,joqgut_P1_charged
JOQQAJ,joqqaj_P1_charged
JOQSOZ,joqsoz_P1_charged
JOTDEE,jotdee_P1_charged_H
JOTDII,jotdii_P1_charged_H
JOYRAT,joyrat_P1_charged
JOZTIE,joztie_P1_charged
JUGWAM,jugwam_P1_charged
JUGZAP,jugzap_P1_charged
JUPFOP,jupfop_P1_charged
JUTWAZ,jutwaz_P1_charged
JUTWED,jutwed_P1_charged
JUTZEG,jutzeg_P1_charged
JUVLUK,juvluk_P1_charged
JUVMAR,juvmar_P1_charged
JUXQAW,juxqaw_P1_charged_H
JUXSEC,juxsec_P1_charged
JUXSIG,juxsig_P1_charged
JUXZOT,juxzot_P1_charged
KAKCAD,kakcad_P1_charged
KAKCEH01,kakceh01_P1_charged
KAKCEH02,kakceh02_P1_charged
KAMXUU,kamxuu_P1_charged
KAMYAB,kamyab_P1_charged_H
KAPHOZ,kaphoz_P1_charged
KASDOA,kasdoa_P1_charged
KATTOR,kattor_P1_charged
KAVLID,kavlid_P1_charged
KAWXEO,kawxeo_P1_charged_H
KAWXIS,kawxis_P1_charged_H
KAWXOY,kawxoy_P1_charged_H
KAWXUE,kawxue_P1_charged_H
KAZXEQ,kazxeq_P1_charged
KEBDIG,kebdig_P1_charged
KEDPEQ,kedpeq_P1_charged
KEFWEZ,kefwez_P1_charged
KEGBIK,kegbik_P1_charged
KEHFUA,kehfua_P1_charged
KEHGAH,kehgah_P1_charged
KEHGIP,kehgip_P1_charged
KELJER,keljer_P1_charged
KENSEE,kensee_P1_charged
KENSEE01,kensee01_P1_charged
KENSEE02,kensee02_P1_charged
KENSEE03,kensee03_P1_charged
KENSEE04,kensee04_P1_charged
KENSEE05,kensee05_P1_charged
KENTEF,kentef_P1_charged
KENTEF01,kentef01_P1_charged
KENTEF02,kentef02_P1_charged
KENTEF03,kentef03_P1_charged
KENTEF04,kentef04_P1_charged
KENTEF05,kentef05_P1_charged
KENVIL,kenvil_P1_charged
KENVIL01,kenvil01_P1_charged
KENVIL02,kenvil02_P1_charged
KENVOR,kenvor_P1_charged
